grid_id,area_km2,distance_to_bell_m,distance_to_bell_km,final_grid_id,poi_total,final_grid_id_cat,catering,life_service,shopping,poi_density,road_length_m,road_density_km_per_km2,intersection_count,mean_intersection_degree,intersection_density_n_per_km2,model_fitted,model_residual
568,0.25,3477.5415145767884,3.4775415145767883,568.0,69.0,568.0,21.0,23.0,25.0,276.0,2782.2294138841526,11.12891765553661,7.0,3.2857142857142856,28.0,683.7110072578705,-407.7110072578705
569,0.25,2518.5359530025703,2.51853595300257,569.0,279.0,569.0,130.0,47.0,102.0,1116.0,6150.256259292594,24.601025037170377,23.0,3.608695652173913,92.0,863.4228893600125,252.5771106399875
570,0.25,2894.901045990711,2.8949010459907107,570.0,232.0,570.0,89.0,76.0,67.0,928.0,6926.672579930854,27.706690319723418,23.0,3.6956521739130435,92.0,818.8762345563412,109.12376544365884
571,0.25,2399.0240195877327,2.3990240195877326,571.0,281.0,571.0,73.0,84.0,124.0,1124.0,6045.525366745847,24.18210146698339,18.0,3.1666666666666665,72.0,827.1858368098325,296.8141631901675
572,0.25,3391.988780287656,3.391988780287656,572.0,269.0,572.0,108.0,82.0,79.0,1076.0,2132.7768832034576,8.53110753281383,2.0,3.0,8.0,661.5045478111936,414.49545218880644
573,0.25,2879.712653385825,2.879712653385825,573.0,186.0,573.0,55.0,62.0,69.0,744.0,4892.029479790026,19.568117919160105,11.0,3.4545454545454546,44.0,791.7881206588734,-47.78812065887337
574,0.25,2380.674094988896,2.380674094988896,574.0,371.0,574.0,168.0,74.0,129.0,1484.0,5455.50298870362,21.822011954814478,23.0,3.260869565217391,92.0,841.3258431907385,642.6741568092615
575,0.25,3379.0354815523406,3.3790354815523407,575.0,276.0,575.0,70.0,99.0,107.0,1104.0,5673.354531750392,22.693418127001568,10.0,3.2,40.0,687.7164580220299,416.2835419779701
596,0.25,4877.836430647029,4.877836430647029,596.0,180.0,596.0,67.0,36.0,77.0,720.0,1018.3877570812894,4.0735510283251575,1.0,3.0,4.0,443.9033947074122,276.0966052925878
598,0.25,3878.5327902583067,3.8785327902583067,598.0,193.0,598.0,57.0,55.0,81.0,772.0,5151.517219325887,20.606068877303546,22.0,3.727272727272727,88.0,678.6684379772651,93.33156202273494
599,0.25,4378.144861083073,4.378144861083073,599.0,232.0,599.0,67.0,57.0,108.0,928.0,5235.591420792593,20.942365683170372,21.0,3.238095238095238,84.0,546.0291315217526,381.97086847824744
600,0.25,4424.9796976506495,4.42497969765065,600.0,212.0,600.0,93.0,40.0,79.0,848.0,5512.833325686258,22.051333302745032,9.0,3.4444444444444446,36.0,564.2570209404574,283.74297905954256
601,0.25,4919.916782237243,4.919916782237243,601.0,368.0,601.0,91.0,83.0,194.0,1472.0,2867.2667759437145,11.469067103774858,4.0,3.5,16.0,498.52803815156034,973.4719618484396
603,0.25,3931.3241414441018,3.931324141444102,603.0,312.0,603.0,65.0,44.0,203.0,1248.0,5702.832329359914,22.811329317439657,15.0,3.3333333333333335,60.0,623.0441831912862,624.9558168087138
604,0.25,4526.8905691006885,4.526890569100688,604.0,11.0,604.0,3.0,6.0,2.0,44.0,3842.8200430333604,15.371280172133442,8.0,3.625,32.0,571.28321930216,-527.28321930216
616,0.25,3439.501953129548,3.439501953129548,616.0,417.0,616.0,119.0,104.0,194.0,1668.0,4433.016895165863,17.732067580663454,6.0,3.0,24.0,654.5462831495948,1013.4537168504052
617,0.25,2465.745738421445,2.465745738421445,617.0,452.0,617.0,194.0,108.0,150.0,1808.0,5138.879860445972,20.555519441783886,14.0,3.357142857142857,56.0,840.5715540619808,967.4284459380192
618,0.25,2950.4301154344844,2.9504301154344845,618.0,439.0,618.0,140.0,114.0,185.0,1756.0,5142.533961666796,20.570135846667185,12.0,3.25,48.0,756.5640851547287,999.4359148452713
619,0.25,3569.6591693849837,3.5696591693849835,619.0,72.0,619.0,8.0,7.0,57.0,288.0,5767.8312555132425,23.07132502205297,13.0,3.4615384615384617,52.0,691.5961986842578,-403.59619868425784
620,0.25,2644.2758832118543,2.6442758832118543,620.0,464.0,620.0,158.0,112.0,194.0,1856.0,5998.975215177894,23.995900860711576,13.0,3.4615384615384617,52.0,827.1178116070473,1028.8821883929527
621,0.25,3101.1821562196346,3.1011821562196347,621.0,81.0,621.0,18.0,24.0,39.0,324.0,4566.119404500388,18.26447761800155,11.0,3.1818181818181817,44.0,726.1974001194899,-402.1974001194899
622,0.25,2899.0494729355946,2.8990494729355945,622.0,91.0,622.0,30.0,18.0,43.0,364.0,3730.158676548946,14.920634706195784,9.0,3.0,36.0,733.6950995572251,-369.69509955722515
623,0.25,3762.2811545080745,3.7622811545080745,623.0,239.0,623.0,23.0,43.0,173.0,956.0,3079.4354579945084,12.317741831978033,1.0,3.0,4.0,607.2755374571295,348.72446254287047
624,0.25,3321.087723329117,3.321087723329117,624.0,99.0,624.0,6.0,19.0,74.0,396.0,1404.7003443228991,5.618801377291597,1.0,3.0,4.0,671.8879486576554,-275.88794865765544
625,0.25,3211.9745868422538,3.2119745868422536,625.0,11.0,625.0,5.0,1.0,5.0,44.0,6554.51768474726,26.21807073898904,31.0,3.3225806451612905,124.0,727.085074169789,-683.085074169789
627,0.25,4045.6893609239846,4.045689360923984,627.0,187.0,627.0,11.0,7.0,169.0,748.0,4129.427104790008,16.517708419160034,18.0,3.111111111111111,72.0,579.2789247894912,168.72107521050884
628,0.25,4680.281094614411,4.680281094614411,628.0,290.0,628.0,56.0,39.0,195.0,1160.0,6184.888463907293,24.739553855629172,15.0,3.533333333333333,60.0,537.6749704409916,622.3250295590084
631,0.25,4216.621313929653,4.216621313929653,631.0,241.0,631.0,18.0,21.0,202.0,964.0,3421.3824255826485,13.685529702330594,4.0,3.25,16.0,571.1314368103524,392.8685631896476
632,0.25,4880.299583488434,4.880299583488434,632.0,236.0,632.0,14.0,30.0,192.0,944.0,3600.44698203622,14.40178792814488,12.0,3.0,48.0,443.5426680215834,500.4573319784166
635,0.25,4437.588106739759,4.437588106739758,635.0,91.0,635.0,8.0,16.0,67.0,364.0,2903.3083287990735,11.613233315196293,3.0,3.3333333333333335,12.0,548.9022463671555,-184.9022463671555
756,0.25,3597.4875352167237,3.5974875352167235,756.0,23.0,756.0,2.0,10.0,11.0,92.0,3773.3356556615263,15.093342622646105,13.0,3.076923076923077,52.0,640.7613146053466,-548.7613146053466
757,0.25,4008.3727852532534,4.008372785253253,757.0,42.0,757.0,3.0,11.0,28.0,168.0,4668.28488591399,18.67313954365596,16.0,3.5625,64.0,639.6213081719571,-471.62130817195714
758,0.25,3567.7827353291545,3.5677827353291547,,0.0,,0.0,0.0,0.0,0.0,3428.4476776647316,13.713790710658927,7.0,3.0,28.0,635.7596692454453,-635.7596692454453
759,0.25,4298.760901184345,4.2987609011843455,759.0,103.0,759.0,19.0,50.0,34.0,412.0,4600.5145689427945,18.40205827577118,10.0,3.1,40.0,540.865979760373,-128.86597976037297
760,0.25,3918.444776442819,3.918444776442819,760.0,96.0,760.0,53.0,9.0,34.0,384.0,3163.3460338968466,12.653384135587386,6.0,3.0,24.0,584.4055048547666,-200.4055048547666
761,0.25,3954.9167559513944,3.9549167559513942,,0.0,,0.0,0.0,0.0,0.0,3584.5766056750795,14.338306422700319,13.0,3.230769230769231,52.0,607.1198796006365,-607.1198796006365
762,0.25,4625.109532275269,4.625109532275269,762.0,223.0,762.0,82.0,64.0,77.0,892.0,3864.90794426931,15.45963177707724,11.0,3.6363636363636362,44.0,558.2806628005533,333.7193371994467
763,0.25,4273.932892082459,4.273932892082459,763.0,221.0,763.0,36.0,42.0,143.0,884.0,3967.1081664111143,15.868432665644457,7.0,3.4285714285714284,28.0,584.4479452478461,299.55205475215394
764,0.25,4365.049764492659,4.365049764492659,,0.0,,0.0,0.0,0.0,0.0,2345.935299072797,9.383741196291188,4.0,3.25,16.0,549.3942136245796,-549.3942136245796
765,0.25,4980.354514041734,4.980354514041734,765.0,115.0,765.0,40.0,31.0,44.0,460.0,3513.23225026237,14.052929001049481,7.0,3.5714285714285716,28.0,498.36087913930317,-38.360879139303165
769,0.25,4701.540290699471,4.701540290699471,769.0,101.0,769.0,14.0,51.0,36.0,404.0,1845.585249507203,7.382340998028812,4.0,3.0,16.0,469.72181783515055,-65.72181783515055
806,0.25,4656.04931954298,4.65604931954298,806.0,133.0,806.0,54.0,29.0,50.0,532.0,3881.5303566047064,15.526121426418825,6.0,3.3333333333333335,24.0,516.9087833745439,15.091216625456127
809,0.25,4792.2804953894065,4.792280495389407,809.0,4.0,809.0,3.0,1.0,0.0,16.0,2423.8269262947756,9.695307705179102,3.0,3.3333333333333335,12.0,496.95784093054795,-480.95784093054795
1199,0.25,4852.23009229273,4.8522300922927295,1199.0,161.0,1199.0,40.0,51.0,70.0,644.0,3094.1837266720404,12.376734906688162,3.0,3.6666666666666665,12.0,528.7031229378617,115.29687706213826
1200,0.25,4916.225451306148,4.916225451306148,1200.0,155.0,1200.0,51.0,52.0,52.0,620.0,2169.951425614404,8.679805702457616,4.0,4.0,16.0,559.8559064476831,60.14409355231692
1203,0.25,4550.461669719007,4.550461669719007,1203.0,103.0,1203.0,34.0,25.0,44.0,412.0,2050.8178733094264,8.203271493237706,5.0,3.6,20.0,564.7918874154415,-152.79188741544147
1204,0.25,4425.106279860706,4.425106279860707,1204.0,150.0,1204.0,55.0,35.0,60.0,600.0,2863.1508389244354,11.452603355697741,6.0,3.8333333333333335,24.0,611.5174754866889,-11.517475486688909
